sample_id,condition,species,platform,gse
GSM6131656,control,human,small_rna_seq,GSE202708
GSM6131657,control,human,small_rna_seq,GSE202708
GSM6131658,control,human,small_rna_seq,GSE202708
GSM6131659,control,human,small_rna_seq,GSE202708
GSM6131660,moderate,human,small_rna_seq,GSE202708
GSM6131661,moderate,human,small_rna_seq,GSE202708
GSM6131662,moderate,human,small_rna_seq,GSE202708
GSM6131663,moderate,human,small_rna_seq,GSE202708
GSM6131664,severe,human,small_rna_seq,GSE202708
GSM6131665,severe,human,small_rna_seq,GSE202708
GSM6131666,severe,human,small_rna_seq,GSE202708
GSM6131667,severe,human,small_rna_seq,GSE202708
